filename;LoC;NoC;CLoC;DC;Number_of_Functions
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/gltf/gltfloader.ts;701;25;73;0.09431524547803617;15
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/gltf/gltfmesh.ts;27;1;5;0.15625;1
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/gltf/gltfpbrmaterial.ts;206;3;3;0.014354066985645933;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/gltf/gltfprimitive.ts;138;3;15;0.09803921568627451;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/gltf/index.ts;6;0;0;0;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/initializable.ts;215;32;101;0.31962025316455694;24
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/kernel.ts;431;41;125;0.22482014388489208;21
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/keyboardeventprovider.ts;137;8;26;0.15950920245398773;7
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/mouseeventprovider.ts;273;12;39;0.125;15
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/msagent.ts;6;0;0;0;0
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/navigation.ts;508;41;100;0.16447368421052633;21
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/ndcfillingrectangle.ts;115;14;54;0.31952662721893493;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/ndcfillingtriangle.ts;117;14;56;0.3236994219653179;4
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/object.ts;149;19;64;0.3004694835680751;6
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/panmodifier.ts;75;8;16;0.17582417582417584;3
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/pinchzoommodifier.ts;71;7;15;0.1744186046511628;3
D:/Studium/Sommersemester22/Softwareanalysis/webgl-operate-add-hiviser-action/source/pointereventprovider.ts;237;12;39;0.14130434782608695;13
